"average_utility","min_utility","max_utility","generation"
2684,2166,2713,289
2684,2166,2713,290
2684,2166,2713,291
2684,2166,2713,292
2684,2166,2713,293
2684,2166,2713,294
2684,2166,2713,295
2684,2166,2713,296
2684,2166,2713,297
2684,2166,2713,298
2684,2166,2713,299
2684,2166,2713,300
2684,2166,2713,301
2684,2166,2713,302
2684,2166,2713,303
2684,2166,2713,304
2684,2166,2713,305
2684,2166,2713,306
2684,2166,2713,307
2684,2166,2713,308
2684,2166,2713,309
2684,2166,2713,310
2684,2166,2713,311
2684,2166,2713,312
2684,2166,2713,313
2684,2166,2713,314
2684,2166,2713,315
2684,2166,2713,316
2684,2166,2713,317
2684,2166,2713,318
2684,2166,2713,319
2684,2166,2713,320
2684,2166,2713,321
2684,2166,2713,322
2684,2166,2713,323
2684,2166,2713,324
2684,2166,2713,325
2684,2166,2713,326
2684,2166,2713,327
2684,2166,2713,328
2684,2166,2713,329
2684,2166,2713,330
2684,2166,2713,331
2684,2166,2713,332
2684,2166,2713,333
2684,2166,2713,334
2684,2166,2713,335
2684,2166,2713,336
2684,2166,2713,337
2684,2166,2713,338
2684,2166,2713,339
2684,2166,2713,340
2684,2166,2713,341
2684,2166,2713,342
2684,2166,2713,343
2684,2166,2713,344
2684,2166,2713,345
2684,2166,2713,346
2684,2166,2713,347
2684,2166,2713,348
2684,2166,2713,349
2684,2166,2713,350
2684,2166,2713,351
2684,2166,2713,352
2684,2166,2713,353
2684,2166,2713,354
2684,2166,2713,355
2684,2166,2713,356
2684,2166,2713,357
2684,2166,2713,358
2684,2166,2713,359
2684,2166,2713,360
2684,2166,2713,361
2684,2166,2713,362
2684,2166,2713,363
2684,2166,2713,364
2684,2166,2713,365
2684,2166,2713,366
2684,2166,2713,367
2684,2166,2713,368
2684,2166,2713,369
2684,2166,2713,370
2684,2166,2713,371
2684,2166,2713,372
2684,2166,2713,373
2684,2166,2713,374
2684,2166,2713,375
2684,2166,2713,376
2684,2166,2713,377
2684,2166,2713,378
2684,2166,2713,379
2684,2166,2713,380
2684,2166,2713,381
2684,2166,2713,382
2684,2166,2713,383
2684,2166,2713,384
2684,2166,2713,385
2684,2166,2713,386
2684,2166,2713,387
2684,2166,2713,388
2684,2166,2713,389
2684,2166,2713,390
2684,2166,2713,391
2684,2166,2713,392
2684,2166,2713,393
2684,2166,2713,394
2684,2166,2713,395
2684,2166,2713,396
2684,2166,2713,397
2684,2166,2713,398
2684,2166,2713,399
2684,2166,2713,400
2684,2166,2713,401
2684,2166,2713,402
2684,2166,2713,403
2684,2166,2713,404
2684,2166,2713,405
2684,2166,2713,406
2684,2166,2713,407
2684,2166,2713,408
2684,2166,2713,409
2684,2166,2713,410
2684,2166,2713,411
2684,2166,2713,412
2684,2166,2713,413
2684,2166,2713,414
2684,2166,2713,415
2684,2166,2713,416
2684,2166,2713,417
2684,2166,2713,418
2684,2166,2713,419
2684,2166,2713,420
2684,2166,2713,421
2684,2166,2713,422
2684,2166,2713,423
2684,2166,2713,424
2684,2166,2713,425
2684,2166,2713,426
2684,2166,2713,427
2684,2166,2713,428
2684,2166,2713,429
2684,2166,2713,430
2684,2166,2713,431
2684,2166,2713,432
2684,2166,2713,433
2684,2166,2713,434
2684,2166,2713,435
2684,2166,2713,436
2684,2166,2713,437
2684,2166,2713,438
2684,2166,2713,439
2684,2166,2713,440
2684,2166,2713,441
2684,2166,2713,442
2684,2166,2713,443
2684,2166,2713,444
2684,2166,2713,445
2684,2166,2713,446
2684,2166,2713,447
2684,2166,2713,448
2684,2166,2713,449
2684,2166,2713,450
2684,2166,2713,451
2684,2166,2713,452
2684,2166,2713,453
2684,2166,2713,454
2684,2166,2713,455
2684,2166,2713,456
2684,2166,2713,457
2684,2166,2713,458
2684,2166,2713,459
2684,2166,2713,460
2684,2166,2713,461
2684,2166,2713,462
2684,2166,2713,463
2684,2166,2713,464
2684,2166,2713,465
2684,2166,2713,466
2684,2166,2713,467
2684,2166,2713,468
2684,2166,2713,469
2684,2166,2713,470
2684,2166,2713,471
2684,2166,2713,472
2684,2166,2713,473
2684,2166,2713,474
2684,2166,2713,475
2684,2166,2713,476
2684,2166,2713,477
2684,2166,2713,478
2684,2166,2713,479
2684,2166,2713,480
2684,2166,2713,481
2684,2166,2713,482
2684,2166,2713,483
2684,2166,2713,484
2684,2166,2713,485
2684,2166,2713,486
2684,2166,2713,487
2684,2166,2713,488
2684,2166,2713,489
2684,2166,2713,490
2684,2166,2713,491
2684,2166,2713,492
2684,2166,2713,493
2684,2166,2713,494
2684,2166,2713,495
2684,2166,2713,496
2684,2166,2713,497
2684,2166,2713,498
2684,2166,2713,499
2684,2166,2713,500
2684,2166,2713,501
2684,2166,2713,502
2684,2166,2713,503
2684,2166,2713,504
2684,2166,2713,505
2684,2166,2713,506
2684,2166,2713,507
2684,2166,2713,508
2684,2166,2713,509
2684,2166,2713,510
2684,2166,2713,511
2684,2166,2713,512
2684,2166,2713,513
2684,2166,2713,514
2684,2166,2713,515
2684,2166,2713,516
2684,2166,2713,517
2684,2166,2713,518
2684,2166,2713,519
2684,2166,2713,520
2684,2166,2713,521
2684,2166,2713,522
2684,2166,2713,523
2684,2166,2713,524
2684,2166,2713,525
2684,2166,2713,526
2684,2166,2713,527
2684,2166,2713,528
2684,2166,2713,529
2684,2166,2713,530
2684,2166,2713,531
2684,2166,2713,532
2684,2166,2713,533
2684,2166,2713,534
2684,2166,2713,535
2684,2166,2713,536
2684,2166,2713,537
2684,2166,2713,538
2684,2166,2713,539
2684,2166,2713,540
2684,2166,2713,541
2684,2166,2713,542
2684,2166,2713,543
2684,2166,2713,544
2684,2166,2713,545
2684,2166,2713,546
2684,2166,2713,547
2684,2166,2713,548
2684,2166,2713,549
2684,2166,2713,550
2684,2166,2713,551
2684,2166,2713,552
2684,2166,2713,553
2684,2166,2713,554
2684,2166,2713,555
2684,2166,2713,556
2684,2166,2713,557
2684,2166,2713,558
2684,2166,2713,559
2684,2166,2713,560
2684,2166,2713,561
2684,2166,2713,562
2684,2166,2713,563
2684,2166,2713,564
2684,2166,2713,565
2684,2166,2713,566
2684,2166,2713,567
2684,2166,2713,568
2684,2166,2713,569
2684,2166,2713,570
2684,2166,2713,571
2684,2166,2713,572
2684,2166,2713,573
2684,2166,2713,574
2684,2166,2713,575
2684,2166,2713,576
2684,2166,2713,577
2684,2166,2713,578
2684,2166,2713,579
2684,2166,2713,580
2684,2166,2713,581
2684,2166,2713,582
2684,2166,2713,583
2684,2166,2713,584
2684,2166,2713,585
2684,2166,2713,586
2684,2166,2713,587
2684,2166,2713,588
2684,2166,2713,589
2684,2166,2713,590
2684,2166,2713,591
2684,2166,2713,592
2684,2166,2713,593
2684,2166,2713,594
2684,2166,2713,595
2684,2166,2713,596
2684,2166,2713,597
2684,2166,2713,598
2684,2166,2713,599
2684,2166,2713,600
2684,2166,2713,601
2684,2166,2713,602
2684,2166,2713,603
2684,2166,2713,604
